shapeid,xp,yp,Traffic,Train,Industrial
270.0,1189,567,61,0,0
271.0,1201,581,61,0,0
271.0,1199,579,61,0,0
271.0,1194,573,61,0,0
272.0,1203,584,66,0,0
272.0,1201,582,66,0,0
272.0,1201,581,66,0,0
273.0,1186,563,69,0,0
273.0,1190,559,69,0,0
274.0,1181,567,69,0,0
274.0,1181,566,69,0,0
274.0,1186,563,69,0,0
275.0,1178,571,66,0,0
275.0,1181,567,66,0,0
276.0,1176,574,66,0,0
276.0,1178,571,66,0,0
277.0,1190,559,69,0,0
277.0,1194,556,69,0,0
278.0,1194,556,69,0,0
278.0,1197,554,69,0,0
279.0,1197,554,69,0,0
279.0,1202,550,69,0,0
280.0,1185,553,58,0,0
280.0,1189,550,58,0,0
280.0,1192,548,58,0,0
281.0,1192,548,58,0,0
281.0,1198,544,58,0,0
282.0,1185,553,69,0,0
282.0,1182,549,69,0,0
283.0,1190,559,69,0,0
283.0,1185,553,69,0,0
284.0,1198,544,58,0,0
284.0,1201,541,58,0,0
285.0,1202,540,58,0,0
285.0,1203,539,58,0,0
286.0,1203,539,58,0,0
286.0,1205,537,58,0,0
287.0,1205,537,58,0,0
287.0,1209,534,58,0,0
288.0,1181,551,65,0,0
288.0,1182,549,65,0,0
289.0,1182,549,65,0,0
289.0,1186,544,65,0,0
289.0,1186,539,65,0,0
290.0,1174,559,67,0,0
290.0,1178,554,67,0,0
291.0,1171,563,67,0,0
291.0,1174,559,67,0,0
292.0,1167,568,66,0,0
292.0,1171,563,66,0,0
293.0,1162,574,66,0,0
293.0,1163,573,66,0,0
293.0,1167,568,66,0,0
294.0,1191,578,66,0,0
294.0,1190,577,66,0,0
294.0,1184,570,66,0,0
295.0,1184,570,66,0,0
295.0,1182,567,66,0,0
295.0,1181,567,66,0,0
296.0,1181,567,66,0,0
296.0,1180,566,66,0,0
296.0,1175,559,66,0,0
296.0,1174,559,66,0,0
297.0,1198,584,66,0,0
297.0,1197,583,66,0,0
297.0,1191,578,66,0,0
298.0,1201,587,66,0,0
298.0,1198,584,66,0,0
299.0,1184,570,61,0,0
299.0,1185,570,61,0,0
299.0,1189,567,61,0,0
300.0,1188,582,54,0,0
300.0,1176,574,54,0,0
301.0,1176,574,54,0,0
301.0,1173,571,54,0,0
302.0,1173,571,54,0,0
302.0,1167,568,54,0,0
303.0,1196,587,54,0,0
303.0,1188,582,54,0,0
304.0,1188,582,61,0,0
304.0,1191,578,61,0,0
305.0,1186,585,61,0,0
305.0,1188,582,61,0,0
306.0,1193,589,62,0,0
306.0,1186,585,62,0,0
307.0,1186,585,62,0,0
307.0,1173,579,62,0,0
308.0,1173,579,62,0,0
308.0,1169,577,62,0,0
309.0,1169,577,66,0,0
309.0,1163,573,66,0,0
309.0,1162,574,66,0,0
310.0,1173,579,66,0,0
310.0,1173,578,66,0,0
310.0,1176,574,66,0,0
311.0,1197,592,62,0,0
311.0,1193,589,62,0,0
312.0,1267,553,59,0,0
312.0,1273,546,59,0,0
312.0,1276,542,59,0,0
313.0,1283,535,59,0,0
313.0,1276,542,59,0,0
314.0,1292,525,59,0,0
314.0,1283,535,59,0,0
315.0,1276,542,59,0,0
315.0,1283,548,59,0,0
316.0,1276,542,59,0,0
316.0,1270,537,59,0,0
317.0,1273,559,59,0,0
317.0,1283,548,59,0,0
318.0,1283,548,59,0,0
318.0,1290,540,59,0,0
319.0,1290,540,59,0,0
319.0,1299,530,59,0,0
320.0,1283,535,59,0,0
320.0,1290,540,59,0,0
321.0,1277,529,59,0,0
321.0,1283,535,59,0,0
322.0,1267,553,59,0,0
322.0,1273,559,59,0,0
323.0,1261,547,59,0,0
323.0,1261,548,59,0,0
323.0,1267,553,59,0,0
324.0,1218,572,70,0,0
324.0,1218,573,70,0,0
324.0,1222,577,70,0,0
325.0,1218,572,70,0,0
325.0,1224,567,70,0,0
326.0,1222,577,70,0,0
326.0,1226,582,70,0,0
326.0,1227,584,70,0,0
326.0,1229,585,70,0,0
326.0,1230,585,70,0,0
326.0,1232,586,70,0,0
326.0,1234,587,70,0,0
327.0,1224,567,70,0,0
327.0,1229,563,70,0,0
328.0,1272,515,62,0,0
328.0,1282,523,62,0,0
329.0,1271,517,62,0,0
329.0,1272,515,62,0,0
330.0,1267,521,62,0,0
330.0,1271,517,62,0,0
331.0,1261,517,62,0,0
331.0,1263,517,62,0,0
331.0,1267,521,62,0,0
332.0,1265,512,62,0,0
332.0,1265,512,62,0,0
332.0,1267,515,62,0,0
332.0,1271,517,62,0,0
333.0,1041,445,65,0,0
333.0,1043,443,65,0,0
334.0,1272,515,62,0,0
334.0,1276,511,62,0,0
335.0,1286,519,71,0,0
335.0,1292,525,71,0,0
336.0,1276,511,71,0,0
336.0,1286,519,71,0,0
337.0,1270,506,71,0,0
337.0,1276,511,71,0,0
338.0,1292,525,71,0,0
338.0,1299,530,71,0,0
339.0,1299,530,71,55,0
339.0,1300,530,71,55,0
339.0,1305,534,71,55,0
340.0,1305,534,71,55,0
340.0,1323,548,71,55,0
341.0,1266,501,71,0,0
341.0,1270,506,71,0,0
342.0,1206,544,54,0,0
342.0,1203,539,54,0,0
343.0,1210,547,54,0,0
343.0,1206,544,54,0,0
344.0,1206,544,54,0,0
344.0,1204,546,54,0,0
345.0,1207,549,61,0,0
345.0,1204,546,61,0,0
346.0,1203,549,66,0,0
346.0,1202,544,66,0,0
347.0,1204,552,66,0,0
347.0,1203,549,66,0,0
348.0,1202,550,65,0,0
348.0,1198,544,65,0,0
349.0,1198,544,65,0,0
349.0,1192,535,65,0,0
350.0,1202,544,66,0,0
350.0,1202,542,66,0,0
350.0,1202,540,66,0,0
351.0,1202,540,66,0,0
351.0,1202,538,66,0,0
351.0,1202,533,66,0,0
352.0,1245,564,75,0,0
352.0,1246,563,75,0,0
353.0,1246,563,75,0,0
353.0,1248,561,75,0,0
354.0,1248,561,75,0,0
354.0,1252,556,75,0,0
355.0,1252,556,75,0,0
355.0,1254,554,75,0,0
356.0,545,578,74,61,0
356.0,536,573,74,61,0
356.0,534,574,74,61,0
357.0,1244,566,75,0,0
357.0,1244,567,75,0,0
358.0,1244,567,75,0,0
358.0,1240,575,75,0,0
359.0,537,768,74,0,0
359.0,536,767,74,0,0
